Time, Dist, Mag, , , Mag magnitude, IR 0, IR 1, Ultra
0.1,0.30091666666666667,51.119,10.471,46.871,70.14046366399356,298,203,43
0.2,0.9529027777777778,57.663,14.197,55.904,81.55877386277947,286,211,42
0.30000000000000004,1.6550416666666665,55.718,11.535,55.733,79.64746724158904,275,215,42
0.4,2.357180555555556,51.472,10.116,51.643,73.61181759065592,269,216,41
0.5,3.0593194444444447,51.296,6.744,52.495,73.70540127426212,262,220,41
0.6,3.811611111111111,53.772,14.907,53.518,77.31638220325625,260,222,41
0.7,4.463597222222222,51.296,9.938,52.154,73.8246786379731,254,223,40
0.7999999999999999,5.16573611111111,50.765,6.566,54.37,74.67459059814121,253,225,40
0.8999999999999999,5.867875,50.234,7.099,49.768,71.06830785237538,248,224,39
0.9999999999999999,6.570013888888888,55.364,10.825,57.097,80.26469043109803,247,225,38
1.0999999999999999,7.2721527777777775,52.357,13.487,52.836,75.59627976296188,246,226,38
1.2,7.974291666666666,53.949,15.085,51.643,76.19088708631762,244,228,37
1.3,8.676430555555555,52.534,14.375,55.052,77.44149072041421,245,229,37
1.4000000000000001,9.378569444444445,50.765,7.276,52.665,73.50937100805584,243,227,36
1.5000000000000002,10.080708333333334,51.472,8.696,52.325,73.91138494846379,244,229,35
1.6000000000000003,10.782847222222221,51.649,11.358,49.086,72.15302322841366,242,228,34
1.7000000000000004,11.48498611111111,53.772,12.068,56.926,79.23152203510922,242,228,34
1.8000000000000005,12.187125,54.126,12.423,52.836,76.65244745603366,243,227,34
1.9000000000000006,12.88926388888889,50.234,6.744,52.836,73.21597631664827,243,228,34
2.0000000000000004,13.591402777777777,55.01,14.02,54.37,78.60507235541482,240,227,34
2.1000000000000005,14.293541666666666,52.711,12.423,52.154,75.18523901671125,241,227,32
2.2000000000000006,14.995680555555555,46.873,6.566,44.825,65.18796752468971,243,228,31
2.3000000000000007,15.697819444444445,50.411,6.211,49.598,70.99159841840441,241,227,30
2.400000000000001,16.349805555555555,53.772,11.003,55.222,77.85861080831073,241,227,31
2.500000000000001,17.10209722222222,51.472,10.471,50.62,72.94787882454158,239,229,32
2.600000000000001,17.754083333333334,53.418,12.778,52.495,75.97687169790554,241,228,30
2.700000000000001,18.506375,49.704,6.211,51.984,72.19002973402907,239,228,28
2.800000000000001,19.208513888888888,52.18,9.051,54.37,75.89973584275508,240,227,29
2.9000000000000012,19.860500000000002,49.527,7.099,48.405,69.61582833666493,239,227,48
3.0000000000000013,20.612791666666666,49.35,5.856,47.893,69.01778528031743,240,227,29
3.1000000000000014,21.314930555555556,54.656,12.245,56.756,79.73996424002208,241,228,27
3.2000000000000015,21.966916666666666,51.649,8.163,52.836,74.33637512012541,239,227,28
3.3000000000000016,22.669055555555556,53.064,8.873,49.086,72.82824741128954,241,228,29
3.4000000000000017,23.371194444444445,50.588,11.003,49.427,71.57681246046097,240,228,27
3.5000000000000018,24.12348611111111,52.887,14.73,53.347,76.55004949704475,241,227,28
3.600000000000002,24.775472222222223,50.588,12.068,49.768,71.98358279496792,239,227,43
3.700000000000002,25.52776388888889,50.411,6.566,50.961,71.98197550776166,239,227,42
3.800000000000002,26.17975,52.18,15.085,50.961,74.48042122598395,239,227,42
3.900000000000002,26.932041666666667,52.18,9.406,51.643,74.01503012902177,239,227,41
4.000000000000002,27.584027777777777,52.003,11.358,50.45,73.33838471769064,239,229,40
4.100000000000001,28.286166666666666,52.18,13.31,51.302,74.37609632133163,239,227,40
4.200000000000001,28.988305555555556,52.887,10.825,50.62,74.00405255119479,241,229,40
4.300000000000001,29.69044444444444,48.996,7.276,52.325,72.05174402469382,239,228,38
4.4,30.392583333333334,52.711,8.873,51.472,74.20610779443967,239,228,38
4.5,31.094722222222224,55.894,17.037,53.177,79.00754352591909,241,229,37
4.6,31.79686111111111,54.302,8.696,53.347,76.61742640548559,241,229,36
4.699999999999999,32.499,49.88,7.099,50.109,71.05858204326907,240,228,38
4.799999999999999,33.201138888888885,48.996,10.825,47.893,69.36517923281104,239,227,39
4.899999999999999,33.903277777777774,49.173,9.228,51.132,71.53755193602868,241,229,35
4.999999999999998,34.60541666666667,52.18,12.955,50.62,73.8442199836927,241,229,36
5.099999999999998,35.30755555555555,51.296,5.679,50.45,72.17155365516251,239,228,32
5.1999999999999975,36.00969444444444,52.711,10.648,55.563,77.32448767369881,239,229,32
5.299999999999997,36.71183333333333,53.595,10.116,56.074,78.22436293764238,239,227,31
5.399999999999997,37.41397222222223,51.826,9.406,50.961,73.2900445695048,239,227,32
5.4999999999999964,38.11611111111111,54.126,12.068,51.472,75.66126673536466,241,228,8
5.599999999999996,38.81825,55.541,11.713,54.881,78.95518482658373,241,228,12
5.699999999999996,39.520388888888895,53.241,5.856,52.665,75.11656969004908,241,228,514
5.799999999999995,40.22252777777778,50.057,9.761,48.575,70.43089517392208,239,228,31
