Time, Dist, Mag, , , Mag magnitude, IR 0, IR 1, Ultra
0.1,0.2507638888888889,53.418,10.293,53.859,76.55207674518047,298,204,42
0.2,0.9529027777777778,52.18,9.761,50.961,73.58704398194018,286,208,41
0.30000000000000004,1.6550416666666665,51.649,12.068,49.086,72.26818955114345,277,212,40
0.4,2.357180555555556,55.187,10.648,51.132,75.98332907289598,269,217,40
0.5,3.109472222222222,52.18,9.761,51.984,74.29916403971178,262,219,40
0.6,3.811611111111111,55.01,15.085,53.688,78.33299859573869,258,223,39
0.7,4.51375,51.826,6.921,54.37,75.43163406025353,254,225,38
0.7999999999999999,5.16573611111111,49.88,9.228,50.109,71.3027507533896,250,225,38
0.8999999999999999,5.918027777777778,51.296,11.713,45.337,69.4544278934036,249,225,37
0.9999999999999999,6.570013888888888,51.119,8.341,52.325,73.62492829877664,247,226,37
1.0999999999999999,7.2721527777777775,51.826,10.471,48.575,71.79907201350167,246,228,36
1.2,7.974291666666666,51.649,9.228,52.495,74.21927114974925,243,228,36
1.3,8.676430555555555,52.18,12.245,50.961,73.95752798735231,245,226,35
1.4000000000000001,9.378569444444445,53.064,13.487,51.132,74.91440908797186,242,227,34
1.5000000000000002,10.080708333333334,52.18,10.471,52.325,74.6344415534812,242,226,34
1.6000000000000003,10.782847222222221,52.003,7.809,51.813,73.8232988899846,243,228,34
1.7000000000000004,11.48498611111111,50.765,3.727,51.643,72.51189697559981,240,227,34
1.8000000000000005,12.187125,55.364,16.504,54.711,79.56662637689247,243,229,34
1.9000000000000006,12.88926388888889,50.411,12.955,51.302,73.08211922214626,239,228,31
2.0000000000000004,13.591402777777777,47.935,3.372,49.257,68.81414576960175,243,229,30
2.1000000000000005,14.293541666666666,51.649,10.293,51.132,73.4033137807824,241,228,30
2.2000000000000006,14.995680555555555,50.057,8.696,51.643,72.44531119403105,241,227,30
2.3000000000000007,15.697819444444445,51.296,17.392,52.495,75.428683569316,239,227,31
2.400000000000001,16.399958333333334,49.527,3.194,53.859,73.23876873623696,239,227,29
2.500000000000001,17.051944444444445,48.465,10.293,49.086,69.74408555569426,241,228,28
2.600000000000001,17.804236111111113,53.949,12.955,58.119,80.35013868687471,239,229,29
2.700000000000001,18.506375,51.649,8.163,52.154,73.85318873278256,240,227,30
2.800000000000001,19.208513888888888,52.003,12.778,52.154,74.75044487493034,241,229,28
2.9000000000000012,19.860500000000002,48.465,15.262,52.495,73.05826369412293,240,229,27
3.0000000000000013,20.612791666666666,47.404,2.13,51.132,69.75784930744354,239,229,514
3.1000000000000014,21.314930555555556,51.119,6.921,52.325,73.47760221319147,240,229,28
3.2000000000000015,21.966916666666666,51.296,6.744,47.041,69.92579519033015,240,227,26
3.3000000000000016,22.71920833333333,48.289,9.051,47.211,68.13682295939546,239,227,29
3.4000000000000017,23.371194444444445,50.765,13.665,49.598,72.27571552049831,240,227,29
3.5000000000000018,24.12348611111111,50.942,9.228,50.109,72.04967195622753,241,228,27
3.600000000000002,24.775472222222223,51.649,8.518,48.405,71.29670083531215,240,228,514
3.700000000000002,25.477611111111113,53.418,16.327,53.859,77.59410759845106,241,229,514
3.800000000000002,26.17975,53.064,13.133,54.199,76.97918800559019,239,229,514
3.900000000000002,26.881888888888888,48.112,7.454,51.132,70.60317332811607,240,227,514
4.000000000000002,27.584027777777777,50.057,6.566,48.916,70.29644842380019,240,228,514
4.100000000000001,28.286166666666666,52.357,11.713,50.109,73.41227212803047,240,229,514
4.200000000000001,28.988305555555556,53.772,11.713,52.154,75.81993187150725,239,228,514
4.300000000000001,29.69044444444444,55.187,12.068,55.222,78.99817008640136,241,229,514
4.4,30.392583333333334,50.765,8.341,52.325,73.37958252129812,240,228,514
4.5,31.094722222222224,50.411,6.921,48.916,70.5828889887627,241,228,514
4.6,31.79686111111111,53.595,10.471,51.302,74.92637099179433,239,230,514
4.699999999999999,32.499,52.003,12.068,51.132,73.92178337269739,240,227,514
4.799999999999999,33.201138888888885,52.887,9.761,54.029,76.23283236899965,241,228,514
4.899999999999999,33.903277777777774,54.833,11.358,55.563,78.88541704269554,240,227,514
4.999999999999998,34.60541666666667,53.772,10.293,48.745,73.30381202911619,241,227,514
5.099999999999998,35.25740277777778,52.18,12.245,48.234,72.10555582616364,240,229,514
5.1999999999999975,35.95954166666667,54.656,9.406,53.006,76.71627733408341,240,228,514
5.299999999999997,36.61152777777777,50.942,15.262,52.154,74.48527185960994,238,227,514
5.399999999999997,37.31366666666667,50.411,2.662,53.347,73.44560963052864,240,227,514
5.4999999999999964,37.96565277777778,51.649,9.228,47.382,70.69532593460475,239,227,514
5.599999999999996,38.61763888888889,50.765,10.116,50.961,72.6391230811606,239,230,514
5.699999999999996,39.31977777777777,52.18,10.116,49.938,72.93071849364985,238,229,514
5.799999999999995,39.97176388888889,52.357,11.003,49.086,72.6068650610946,238,228,514
5.899999999999995,40.62375,47.758,4.969,48.405,68.18036044199239,238,229,514
